category,name,file_path,status,privacy_scope,evidence_role,security_notes,next_action
service,service_services_calendar_sync,app/services/calendar_sync.py,Implemented,"Implements service logic for app/services/calendar_sync. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/calendar_sync for data handling, audit logging, and access restrictions."
service,service_services_case_auto_creation,app/services/case_auto_creation.py,Implemented,"Implements service logic for app/services/case_auto_creation. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/case_auto_creation for data handling, audit logging, and access restrictions."
service,service_services_communication_service,app/services/communication_service.py,Implemented,"Implements service logic for app/services/communication_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/communication_service for data handling, audit logging, and access restrictions."
service,service_services_complaint_wizard,app/services/complaint_wizard.py,Implemented,"Implements service logic for app/services/complaint_wizard. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/complaint_wizard for data handling, audit logging, and access restrictions."
service,service_services_document_delivery_service,app/services/document_delivery_service.py,Implemented,"Implements service logic for app/services/document_delivery_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_delivery_service for data handling, audit logging, and access restrictions."
service,service_services_document_distributor,app/services/document_distributor.py,Implemented,"Implements service logic for app/services/document_distributor. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_distributor for data handling, audit logging, and access restrictions."
service,service_services_document_flow_orchestrator,app/services/document_flow_orchestrator.py,Implemented,"Implements service logic for app/services/document_flow_orchestrator. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_flow_orchestrator for data handling, audit logging, and access restrictions."
service,service_services_document_intake,app/services/document_intake.py,Implemented,"Implements service logic for app/services/document_intake. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_intake for data handling, audit logging, and access restrictions."
service,service_services_document_intelligence,app/services/document_intelligence.py,Implemented,"Implements service logic for app/services/document_intelligence. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_intelligence for data handling, audit logging, and access restrictions."
service,service_services_document_pipeline,app/services/document_pipeline.py,Implemented,"Implements service logic for app/services/document_pipeline. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_pipeline for data handling, audit logging, and access restrictions."
service,service_services_document_recognition,app/services/document_recognition.py,Implemented,"Implements service logic for app/services/document_recognition. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_recognition for data handling, audit logging, and access restrictions."
service,service_services_document_registry,app/services/document_registry.py,Implemented,"Implements service logic for app/services/document_registry. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_registry for data handling, audit logging, and access restrictions."
service,service_services_document_training,app/services/document_training.py,Implemented,"Implements service logic for app/services/document_training. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/document_training for data handling, audit logging, and access restrictions."
service,service_services_duplicate_detection_service,app/services/duplicate_detection_service.py,Implemented,"Implements service logic for app/services/duplicate_detection_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/duplicate_detection_service for data handling, audit logging, and access restrictions."
service,service_services_email_service,app/services/email_service.py,Implemented,"Implements service logic for app/services/email_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/email_service for data handling, audit logging, and access restrictions."
service,service_services_emotion_engine,app/services/emotion_engine.py,Implemented,"Implements service logic for app/services/emotion_engine. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/emotion_engine for data handling, audit logging, and access restrictions."
service,service_services_eviction_case_builder,app/services/eviction/case_builder.py,Implemented,"Implements service logic for app/services/eviction/case_builder. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/eviction/case_builder for data handling, audit logging, and access restrictions."
service,service_services_eviction_court_learning,app/services/eviction/court_learning.py,Implemented,"Implements service logic for app/services/eviction/court_learning. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/eviction/court_learning for data handling, audit logging, and access restrictions."
service,service_services_eviction_court_procedures,app/services/eviction/court_procedures.py,Implemented,"Implements service logic for app/services/eviction/court_procedures. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/eviction/court_procedures for data handling, audit logging, and access restrictions."
service,service_services_eviction_i18n,app/services/eviction/i18n.py,Implemented,"Implements service logic for app/services/eviction/i18n. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/eviction/i18n for data handling, audit logging, and access restrictions."
service,service_services_eviction_pdf,app/services/eviction/pdf.py,Implemented,"Implements service logic for app/services/eviction/pdf. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/eviction/pdf for data handling, audit logging, and access restrictions."
service,service_services_eviction_seed_court_data,app/services/eviction/seed_court_data.py,Implemented,"Implements service logic for app/services/eviction/seed_court_data. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/eviction/seed_court_data for data handling, audit logging, and access restrictions."
service,service_services_filedored_service,app/services/filedored_service.py,Implemented,"Implements service logic for app/services/filedored_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/filedored_service for data handling, audit logging, and access restrictions."
service,service_services_form_data,app/services/form_data.py,Implemented,"Implements service logic for app/services/form_data. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/form_data for data handling, audit logging, and access restrictions."
service,service_services_form_field_extractor,app/services/form_field_extractor.py,Implemented,"Implements service logic for app/services/form_field_extractor. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/form_field_extractor for data handling, audit logging, and access restrictions."
service,service_services_functionx_service,app/services/functionx_service.py,Implemented,"Implements service logic for app/services/functionx_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/functionx_service for data handling, audit logging, and access restrictions."
service,service_services_gemini_ai,app/services/gemini_ai.py,Implemented,"Implements service logic for app/services/gemini_ai. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/gemini_ai for data handling, audit logging, and access restrictions."
service,service_services_groq_ai,app/services/groq_ai.py,Implemented,"Implements service logic for app/services/groq_ai. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/groq_ai for data handling, audit logging, and access restrictions."
service,service_services_intake_service,app/services/intake_service.py,Implemented,"Implements service logic for app/services/intake_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/intake_service for data handling, audit logging, and access restrictions."
service,service_services_law_engine,app/services/law_engine.py,Implemented,"Implements service logic for app/services/law_engine. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/law_engine for data handling, audit logging, and access restrictions."
service,service_services_legal_analysis_engine,app/services/legal_analysis_engine.py,Implemented,"Implements service logic for app/services/legal_analysis_engine. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/legal_analysis_engine for data handling, audit logging, and access restrictions."
service,service_services_legal_filing_service,app/services/legal_filing_service.py,Implemented,"Implements service logic for app/services/legal_filing_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/legal_filing_service for data handling, audit logging, and access restrictions."
service,service_services_local_classifier,app/services/local_classifier.py,Implemented,"Implements service logic for app/services/local_classifier. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/local_classifier for data handling, audit logging, and access restrictions."
service,service_services_location_service,app/services/location_service.py,Implemented,"Implements service logic for app/services/location_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/location_service for data handling, audit logging, and access restrictions."
service,service_services_mesh_handlers,app/services/mesh_handlers.py,Implemented,"Implements service logic for app/services/mesh_handlers. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/mesh_handlers for data handling, audit logging, and access restrictions."
service,service_services_mndes_api_client,app/services/mndes_api_client.py,Implemented,"Implements service logic for app/services/mndes_api_client. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/mndes_api_client for data handling, audit logging, and access restrictions."
service,service_services_mndes_exhibit_service,app/services/mndes_exhibit_service.py,Implemented,"Implements service logic for app/services/mndes_exhibit_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/mndes_exhibit_service for data handling, audit logging, and access restrictions."
service,service_services_module_actions,app/services/module_actions.py,Implemented,"Implements service logic for app/services/module_actions. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/module_actions for data handling, audit logging, and access restrictions."
service,service_services_module_registration,app/services/module_registration.py,Implemented,"Implements service logic for app/services/module_registration. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/module_registration for data handling, audit logging, and access restrictions."
service,service_services_ocr_service,app/services/ocr_service.py,Implemented,"Implements service logic for app/services/ocr_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/ocr_service for data handling, audit logging, and access restrictions."
service,service_services_ollama_ai,app/services/ollama_ai.py,Implemented,"Implements service logic for app/services/ollama_ai. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/ollama_ai for data handling, audit logging, and access restrictions."
service,service_services_pdf_extractor,app/services/pdf_extractor.py,Implemented,"Implements service logic for app/services/pdf_extractor. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/pdf_extractor for data handling, audit logging, and access restrictions."
service,service_services_positronic_brain,app/services/positronic_brain.py,Implemented,"Implements service logic for app/services/positronic_brain. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/positronic_brain for data handling, audit logging, and access restrictions."
service,service_services_preview_service,app/services/preview_service.py,Implemented,"Implements service logic for app/services/preview_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/preview_service for data handling, audit logging, and access restrictions."
service,service_services_recognition_confidence_scorer,app/services/recognition/confidence_scorer.py,Implemented,"Implements service logic for app/services/recognition/confidence_scorer. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/confidence_scorer for data handling, audit logging, and access restrictions."
service,service_services_recognition_context_analyzer,app/services/recognition/context_analyzer.py,Implemented,"Implements service logic for app/services/recognition/context_analyzer. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/context_analyzer for data handling, audit logging, and access restrictions."
service,service_services_recognition_engine,app/services/recognition/engine.py,Implemented,"Implements service logic for app/services/recognition/engine. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/engine for data handling, audit logging, and access restrictions."
service,service_services_recognition_handwriting_analyzer,app/services/recognition/handwriting_analyzer.py,Implemented,"Implements service logic for app/services/recognition/handwriting_analyzer. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/handwriting_analyzer for data handling, audit logging, and access restrictions."
service,service_services_recognition_legal_dictionary,app/services/recognition/legal_dictionary.py,Implemented,"Implements service logic for app/services/recognition/legal_dictionary. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/legal_dictionary for data handling, audit logging, and access restrictions."
service,service_services_recognition_legal_expert,app/services/recognition/legal_expert.py,Implemented,"Implements service logic for app/services/recognition/legal_expert. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/legal_expert for data handling, audit logging, and access restrictions."
service,service_services_recognition_models,app/services/recognition/models.py,Implemented,"Implements service logic for app/services/recognition/models. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/models for data handling, audit logging, and access restrictions."
service,service_services_recognition_multi_pass_reasoner,app/services/recognition/multi_pass_reasoner.py,Implemented,"Implements service logic for app/services/recognition/multi_pass_reasoner. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/multi_pass_reasoner for data handling, audit logging, and access restrictions."
service,service_services_recognition_relationship_mapper,app/services/recognition/relationship_mapper.py,Implemented,"Implements service logic for app/services/recognition/relationship_mapper. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/relationship_mapper for data handling, audit logging, and access restrictions."
service,service_services_recognition_text_preprocessor,app/services/recognition/text_preprocessor.py,Implemented,"Implements service logic for app/services/recognition/text_preprocessor. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/text_preprocessor for data handling, audit logging, and access restrictions."
service,service_services_recognition_tone_analyzer,app/services/recognition/tone_analyzer.py,Implemented,"Implements service logic for app/services/recognition/tone_analyzer. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition/tone_analyzer for data handling, audit logging, and access restrictions."
service,service_services_recognition_service,app/services/recognition_service.py,Implemented,"Implements service logic for app/services/recognition_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/recognition_service for data handling, audit logging, and access restrictions."
service,service_services_redaction_service,app/services/redaction_service.py,Implemented,"Implements service logic for app/services/redaction_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/redaction_service for data handling, audit logging, and access restrictions."
service,service_services_research_module,app/services/research_module.py,Implemented,"Implements service logic for app/services/research_module. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/research_module for data handling, audit logging, and access restrictions."
service,service_services_retaliation_tracker,app/services/retaliation_tracker.py,Implemented,"Implements service logic for app/services/retaliation_tracker. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/retaliation_tracker for data handling, audit logging, and access restrictions."
service,service_services_semantic_context_engine,app/services/semantic_context_engine.py,Implemented,"Implements service logic for app/services/semantic_context_engine. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/semantic_context_engine for data handling, audit logging, and access restrictions."
service,service_services_storage_base,app/services/storage/base.py,Implemented,"Implements service logic for app/services/storage/base. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/base for data handling, audit logging, and access restrictions."
service,service_services_storage_certificate_generator,app/services/storage/certificate_generator.py,Implemented,"Implements service logic for app/services/storage/certificate_generator. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/certificate_generator for data handling, audit logging, and access restrictions."
service,service_services_storage_dropbox,app/services/storage/dropbox.py,Implemented,"Implements service logic for app/services/storage/dropbox. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/dropbox for data handling, audit logging, and access restrictions."
service,service_services_storage_google_drive,app/services/storage/google_drive.py,Implemented,"Implements service logic for app/services/storage/google_drive. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/google_drive for data handling, audit logging, and access restrictions."
service,service_services_storage_legal_integrity,app/services/storage/legal_integrity.py,Implemented,"Implements service logic for app/services/storage/legal_integrity. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/legal_integrity for data handling, audit logging, and access restrictions."
service,service_services_storage_onedrive,app/services/storage/onedrive.py,Implemented,"Implements service logic for app/services/storage/onedrive. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/onedrive for data handling, audit logging, and access restrictions."
